Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Low income,LIC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.1965383472958,1.20142602066463,1.58923071235711,2.0844191802406,2.15679626320547,2.11387903713962,3.33951051517137,3.6647348489117,3.5796066576987,3.17203853296833,4.18209872212224,5.3626470211894,6.25976810757677,5.68457898967814,3.92644186861537,3.57963093233323,3.76313612396556,3.51496474323172,3.20286689953916,3.43365526111197,3.21332938999341
Lower middle income,LMC,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.34868966503425,1.49237466837764,1.58016815512876,1.53580671774102,1.36882235602928,1.84886763623153,2.91711796526906,2.99256865765516,3.60074058314052,2.86996824096106,1.97377951868656,1.97335420593712,1.73275290113974,1.74748202533626,1.98248150749635,2.39374897902564,2.1062333246497,1.84686039011864,1.73233072564867,1.76769365712248,1.88325805935276
